Iteration 182 took: 0.01766720 sec, quid counter = 10
Iteration 183 took: 0.01486177 sec, quid counter = 10
Iteration 184 took: 0.01337454 sec, quid counter = 10
Iteration 185 took: 0.03717843 sec, quid counter = 11
Iteration 186 took: 0.03568667 sec, quid counter = 10
Iteration 187 took: 0.03002665 sec, quid counter = 10
Iteration 188 took: 0.03707534 sec, quid counter = 10
Iteration 189 took: 0.03456061 sec, quid counter = 9
Iteration 190 took: 0.03575532 sec, quid counter = 10
Iteration 191 took: 0.01543193 sec, quid counter = 10
Iteration 192 took: 0.02369901 sec, quid counter = 9
Iteration 193 took: 0.01804098 sec, quid counter = 9
Iteration 194 took: 0.01422101 sec, quid counter = 8
Iteration 195 took: 0.03309915 sec, quid counter = 7
Iteration 196 took: 0.03183855 sec, quid counter = 6
Iteration 197 took: 0.02779089 sec, quid counter = 7
Iteration 198 took: 0.02953254 sec, quid counter = 8
Iteration 199 took: 0.03255913 sec, quid counter = 7
Iteration 200 took: 0.02991510 sec, quid counter = 8
Iteration 201 took: 0.02912068 sec, quid counter = 8
Iteration 202 took: 0.01776820 sec, quid counter = 8
Iteration 203 took: 0.03372736 sec, quid counter = 9
Iteration 204 took: 0.01531066 sec, quid counter = 9
Iteration 205 took: 0.01571008 sec, quid counter = 8
Iteration 206 took: 0.01410884 sec, quid counter = 6
Iteration 207 took: 0.03117298 sec, quid counter = 5
Iteration 208 took: 0.03393997 sec, quid counter = 7
Iteration 209 took: 0.01471343 sec, quid counter = 7
Iteration 210 took: 0.01215766 sec, quid counter = 6
Iteration 211 took: 0.03389467 sec, quid counter = 6
Iteration 212 took: 0.03476773 sec, quid counter = 5
Iteration 213 took: 0.01741060 sec, quid counter = 8
Iteration 214 took: 0.01411842 sec, quid counter = 7
Iteration 215 took: 0.03386548 sec, quid counter = 7
Iteration 216 took: 0.03362845 sec, quid counter = 5
Iteration 217 took: 0.01906881 sec, quid counter = 4
Iteration 218 took: 0.01540582 sec, quid counter = 4
Iteration 219 took: 0.01623175 sec, quid counter = 3
Iteration 220 took: 0.02962407 sec, quid counter = 3
Iteration 221 took: 0.03273384 sec, quid counter = 3
Iteration 222 took: 0.01506444 sec, quid counter = 3
Iteration 223 took: 0.01582691 sec, quid counter = 2
Iteration 224 took: 0.02646369 sec, quid counter = 1
Iteration 225 took: 0.01299828 sec, quid counter = 1
Iteration 226 took: 0.01901839 sec, quid counter = 2
Iteration 227 took: 0.03288435 sec, quid counter = 2
Iteration 228 took: 0.03010877 sec, quid counter = 2
Iteration 229 took: 0.01752262 sec, quid counter = 2
Iteration 230 took: 0.03238360 sec, quid counter = 1
Iteration 231 took: 0.02224904 sec, quid counter = 1
Iteration 232 took: 0.03301626 sec, quid counter = 2
Iteration 233 took: 0.03317895 sec, quid counter = 2
Iteration 234 took: 0.03313400 sec, quid counter = 2
Iteration 235 took: 0.03205235 sec, quid counter = 2
Iteration 236 took: 0.02215267 sec, quid counter = 1
Iteration 237 took: 0.01678666 sec, quid counter = 1
Iteration 238 took: 0.01468455 sec, quid counter = 2
Iteration 239 took: 0.01939505 sec, quid counter = 3
Iteration 240 took: 0.03122365 sec, quid counter = 3
Iteration 241 took: 0.03250756 sec, quid counter = 3
Iteration 242 took: 0.03467845 sec, quid counter = 2
Iteration 243 took: 0.03248648 sec, quid counter = 2
Iteration 244 took: 0.03490856 sec, quid counter = 1
Iteration 245 took: 0.03724877 sec, quid counter = 2
Iteration 246 took: 0.03091362 sec, quid counter = 2
Iteration 247 took: 0.02768812 sec, quid counter = 2
Iteration 248 took: 0.03113786 sec, quid counter = 2
Iteration 249 took: 0.03138561 sec, quid counter = 1
Iteration 250 took: 0.03114411 sec, quid counter = 1
Iteration 251 took: 0.03263329 sec, quid counter = 2
Iteration 252 took: 0.02945027 sec, quid counter = 2
Iteration 253 took: 0.03284376 sec, quid counter = 2
Iteration 254 took: 0.03363987 sec, quid counter = 2
Iteration 255 took: 0.02931227 sec, quid counter = 1
Iteration 256 took: 0.03210963 sec, quid counter = 1
Iteration 257 took: 0.03349257 sec, quid counter = 2
Iteration 258 took: 0.03589290 sec, quid counter = 1
Iteration 259 took: 0.03091233 sec, quid counter = 1
Iteration 260 took: 0.03059556 sec, quid counter = 1
Iteration 261 took: 0.03151437 sec, quid counter = 0
PY_VAR22
